"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
78, 3.672368793992111e-01, 1.687154908623557e-01, 2.080919632854511e+05, 1.715745448975414e-01, 2.112436280030250e+00
79, 3.757549995986227e-01, 1.710927013623358e-01, 2.066808407929910e+05, 1.693346679253827e-01, 2.120526715703940e+00
80, 3.843598188740580e-01, 1.734748660309742e-01, 2.053246097094905e+05, 1.671819201737944e-01, 2.128428984449276e+00
81, 3.930511193790029e-01, 1.758621769426414e-01, 2.040223447580308e+05, 1.651148329492552e-01, 2.136144579558162e+00
82, 4.018286865105739e-01, 1.782548455182912e-01, 2.027728333179925e+05, 1.631314814571311e-01, 2.143675765179522e+00
83, 4.106923088220578e-01, 1.806530999037910e-01, 2.015746686849756e+05, 1.612296328332946e-01, 2.151025355123005e+00
84, 4.196417779388390e-01, 1.830571822253118e-01, 2.004263301503275e+05, 1.594068732544881e-01, 2.158196517488772e+00
85, 4.286768884775466e-01, 1.854673457373419e-01, 1.993262469831662e+05, 1.576607094970892e-01, 2.165192614902431e+00
86, 4.377974379682594e-01, 1.878838518809023e-01, 1.982728436300733e+05, 1.559886406826561e-01, 2.172017089813441e+00
87, 4.470032267796198e-01, 1.903069672716179e-01, 1.972645640098853e+05, 1.543881968410879e-01, 2.178673402946033e+00
88, 4.562940580467156e-01, 1.927369606394005e-01, 1.962998753197971e+05, 1.528569449520589e-01, 2.185165026016305e+00
89, 4.656697376015954e-01, 1.951740997435767e-01, 1.953772546608780e+05, 1.513924677156794e-01, 2.191495481497019e+00
90, 4.751300739062956e-01, 1.976186482893231e-01, 1.944951637724827e+05, 1.499923234483852e-01, 2.197668416155393e+00
91, 4.846748779882581e-01, 2.000708628731719e-01, 1.936520178713217e+05, 1.486539966211456e-01, 2.203687692413490e+00
92, 4.943039633780305e-01, 2.025309899870772e-01, 1.928461542101600e+05, 1.473748479526349e-01, 2.209557482019143e+00
93, 5.040171460491418e-01, 2.049992631119997e-01, 1.920758049157882e+05, 1.461520712949020e-01, 2.215282348930663e+00
94, 5.138142443600571e-01, 2.074758999330960e-01, 1.913390773163744e+05, 1.449826624069436e-01, 2.220867311797971e+00
95, 5.236950789981165e-01, 2.099610997092838e-01, 1.906339436193851e+05, 1.438634025704526e-01, 2.226317880026057e+00
96, 5.336594729253709e-01, 2.124550408301039e-01, 1.899582406089948e+05, 1.427908581095155e-01, 2.231640060787578e+00
97, 5.437072513262298e-01, 2.149578785922672e-01, 1.893096790827221e+05, 1.417613953694001e-01, 2.236840337085080e+00
98, 5.538382415568458e-01, 2.174697432269813e-01, 1.886858620399800e+05, 1.407712095872698e-01, 2.241925619155546e+00
99, 5.640522730961567e-01, 2.199907382069018e-01, 1.880843101634511e+05, 1.398163653388113e-01, 2.246903172982651e+00
100, 5.743491774985174e-01, 2.225209388582854e-01, 1.875024926318669e+05, 1.388928454474078e-01, 2.251780531359961e+00
101, 5.847287883478545e-01, 2.250603912994514e-01, 1.869378609702936e+05, 1.379966047147518e-01, 2.256565394041268e+00
102, 5.951909412132778e-01, 2.276091117209125e-01, 1.863878836184691e+05, 1.371236247912209e-01, 2.261265523814743e+00
103, 6.057354736060916e-01, 2.301670860154274e-01, 1.858500791738516e+05, 1.362699669426215e-01, 2.265888644605897e+00
104, 6.163622249381462e-01, 2.327342697577201e-01, 1.853220467032993e+05, 1.354318201639672e-01, 2.270442346610284e+00
105, 6.270710364814756e-01, 2.353105885237714e-01, 1.848014920064974e+05, 1.346055428674563e-01, 2.274934002002993e+00
106, 6.378617513291704e-01, 2.378959385285597e-01, 1.842862491409796e+05, 1.337876970491740e-01, 2.279370693644244e+00
107, 6.487342143574376e-01, 2.404901875492464e-01, 1.837742968640803e+05, 1.329750743874290e-01, 2.283759158099772e+00
108, 6.596882721887969e-01, 2.430931760885921e-01, 1.832637698777262e+05, 1.321647140916290e-01, 2.288105743745227e+00
109, 6.707237731563739e-01, 2.457047187217041e-01, 1.827529649376711e+05, 1.313539125994780e-01, 2.292416384096922e+00
110, 6.818405672692449e-01, 2.483246055593045e-01, 1.822403420071911e+05, 1.305402254082399e-01, 2.296696586309263e+00
111, 6.930385061787930e-01, 2.509526037543389e-01, 1.817245207877523e+05, 1.297214615678608e-01, 2.300951434186227e+00
112, 7.043174431460383e-01, 2.535884589784538e-01, 1.812042731464853e+05, 1.288956716610878e-01, 2.305185604671159e+00
113, 7.156772330099044e-01, 2.562318968039896e-01, 1.806785122663713e+05, 1.280611305815417e-01, 2.309403395633298e+00
114, 7.271177321563886e-01, 2.588826239501577e-01, 1.801462797696616e+05, 1.272163170947010e-01, 2.313608761602779e+00
115, 7.386387984885974e-01, 2.615403293945672e-01, 1.796067327396682e+05, 1.263598932375686e-01, 2.317805351617899e+00
116, 7.502402913976213e-01, 2.642046854198511e-01, 1.790591334780753e+05, 1.254906880604370e-01, 2.321996540494276e+00
117, 7.619220717342156e-01, 2.668753487666791e-01, 1.785028460715036e+05, 1.246076921769899e-01, 2.326185440145887e+00
